I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,0.12,,,,,-0.091,0.0,0.045,,,
,0.119,,,,,-0.096,0.0,0.044,,,
,0.119,,,,,-0.094,-0.002,0.042,,,
,0.12,,,,,-0.089,-0.005,0.039,,,
,0.12,,,,,-0.086,-0.007,0.038,,,
,0.119,,,,,-0.085,-0.008,0.039,,,
,0.12,,,,,-0.084,-0.01,0.04,,,
,0.122,,,,,-0.082,-0.011,0.04,,,
,0.125,,,,,-0.08,-0.01,0.04,,,
,0.126,,,,,-0.078,-0.008,0.038,,,
,0.127,,,,,-0.076,-0.005,0.036,,,
,0.131,,,,,-0.074,-0.004,0.034,,,
,0.135,,,,,-0.071,-0.004,0.034,,,
,0.139,,,,,-0.069,-0.004,0.035,,,
,0.139,,,,,-0.07,-0.004,0.036,,,
,0.137,,,,,-0.071,-0.005,0.035,,,
,0.134,,,,,-0.07,-0.005,0.034,,,
,0.132,,,,,-0.066,-0.004,0.032,,,
,0.13,,,,,-0.062,-0.004,0.031,,,
,0.128,,,,,-0.058,-0.005,0.029,,,
,0.126,,,,,-0.057,-0.005,0.029,,,
,0.125,,,,,-0.055,-0.005,0.029,,,
,0.123,,,,,-0.051,-0.004,0.03,,,
,0.121,,,,,-0.047,-0.004,0.03,,,
,0.118,,,,,-0.044,-0.005,0.028,,,
,0.116,,,,,-0.042,-0.006,0.027,,,
,0.115,,,,,-0.039,-0.005,0.025,,,
,0.115,,,,,-0.036,-0.003,0.024,,,
,0.113,,,,,-0.032,-0.001,0.023,,,
,0.107,,,,,-0.029,0.0,0.024,,,
,0.094,,,,,-0.027,0.0,0.025,,,
,0.078,,,,,-0.025,0.0,0.025,,,
,0.063,,,,,-0.023,0.0,0.023,,,
,0.051,,,,,-0.021,0.0,0.021,,,
,0.043,,,,,-0.02,0.0,0.019,,,
,0.038,,,,,-0.019,0.0,0.019,,,
,0.035,,,,,-0.02,0.0,0.019,,,
,0.033,,,,,-0.02,0.0,0.02,,,
,0.031,,,,,-0.019,0.0,0.021,,,
,0.029,,,,,-0.019,0.0,0.02,,,
,0.027,,,,,-0.02,0.0,0.017,,,
,0.025,,,,,-0.02,0.0,0.015,,,
,0.024,,,,,-0.019,0.0,0.014,,,
,0.022,,,,,-0.02,0.0,0.014,,,
,0.02,,,,,-0.019,0.0,0.014,,,
,0.018,,,,,-0.018,0.001,0.014,,,
,0.016,,,,,-0.016,0.004,0.015,,,
,0.014,,,,,-0.014,0.005,0.015,,,
,0.012,,,,,-0.014,0.005,0.014,,,
,0.01,,,,,-0.014,0.005,0.014,,,
,0.008,,,,,-0.015,0.005,0.013,,,
,0.006,,,,,-0.015,0.005,0.011,,,
,0.004,,,,,-0.014,0.004,0.009,,,
,0.002,,,,,-0.015,0.004,0.009,,,
,0.0,,,,,-0.014,0.005,0.01,,,
,0.0,,,,,-0.014,0.005,0.01,,,
,0.0,,,,,-0.015,0.004,0.009,,,
,0.0,,,,,-0.015,0.004,0.009,,,
,-0.002,,,,,-0.014,0.005,0.01,,,
,-0.004,,,,,-0.014,0.005,0.01,,,
,-0.005,,,,,-0.013,0.004,0.009,,,
,-0.004,,,,,-0.012,0.004,0.009,,,
,-0.004,,,,,-0.01,0.004,0.01,,,
,-0.006,,,,,-0.009,0.005,0.01,,,
,-0.008,,,,,-0.009,0.004,0.01,,,
,-0.01,,,,,-0.01,0.005,0.009,,,
,-0.01,,,,,-0.01,0.007,0.009,,,
,-0.009,,,,,-0.009,0.009,0.01,,,
,-0.01,,,,,-0.009,0.01,0.01,,,
,-0.012,,,,,-0.01,0.009,0.009,,,
,-0.015,,,,,-0.01,0.01,0.009,,,
,-0.018,,,,,-0.009,0.013,0.01,,,
,-0.019,,,,,-0.01,0.014,0.01,,,
,-0.02,,,,,-0.009,0.014,0.009,,,
,-0.019,,,,,-0.006,0.014,0.009,,,
,-0.02,,,,,-0.004,0.015,0.01,,,
,-0.022,,,,,-0.004,0.017,0.01,,,
,-0.024,,,,,-0.005,0.019,0.009,,,
,-0.024,,,,,-0.005,0.02,0.009,,,
,-0.025,,,,,-0.004,0.021,0.01,,,
,-0.025,,,,,-0.004,0.02,0.01,,,
,-0.026,,,,,-0.005,0.019,0.009,,,
,-0.029,,,,,-0.005,0.019,0.009,,,
,-0.03,,,,,-0.004,0.021,0.01,,,
,-0.03,,,,,-0.004,0.023,0.01,,,
,-0.029,,,,,-0.005,0.024,0.009,,,
,-0.03,,,,,-0.006,0.024,0.009,,,
,-0.033,,,,,-0.005,0.025,0.01,,,
,-0.035,,,,,-0.003,0.026,0.01,,,
,-0.037,,,,,0.0,0.027,0.009,,,
,-0.038,,,,,0.003,0.029,0.009,,,
,-0.04,,,,,0.008,0.03,0.01,,,
,-0.04,,,,,0.013,0.03,0.011,,,
,-0.039,,,,,0.015,0.03,0.009,,,
,-0.038,,,,,0.017,0.031,0.008,,,
,-0.039,,,,,0.019,0.034,0.009,,,
,-0.042,,,,,0.022,0.036,0.013,,,
,-0.046,,,,,0.025,0.035,0.018,,,
,-0.05,,,,,0.029,0.033,0.025,,,
,-0.053,,,,,0.035,0.032,0.032,,,
,-0.055,,,,,0.039,0.034,0.039,,,
,-0.054,,,,,0.039,0.04,0.043,,,
,-0.055,,,,,0.04,0.052,0.047,,,
,-0.06,,,,,0.045,0.07,0.054,,,
,-0.07,,,,,0.055,0.085,0.064,,,
,-0.083,,,,,0.07,0.092,0.067,,,
,-0.094,,,,,0.087,0.093,0.059,,,
,-0.102,,,,,0.106,0.09,0.044,,,
,-0.109,,,,,0.119,0.087,0.028,,,
,-0.117,,,,,0.123,0.083,0.014,,,
,-0.127,,,,,0.123,0.078,0.001,,,
,-0.138,,,,,0.125,0.069,-0.018,,,
,-0.148,,,,,0.131,0.051,-0.047,,,
,-0.154,,,,,0.131,0.019,-0.088,,,
,-0.153,,,,,0.119,-0.02,-0.134,,,
,-0.146,,,,,0.098,-0.06,-0.179,,,
,-0.138,,,,,0.076,-0.095,-0.221,,,
,-0.134,,,,,0.056,-0.127,-0.264,,,
,-0.131,,,,,0.037,-0.156,-0.307,,,
,-0.126,,,,,0.016,-0.181,-0.344,,,
,-0.122,,,,,-0.006,-0.203,-0.374,,,
,-0.119,,,,,-0.03,-0.23,-0.4,,,
,-0.12,,,,,-0.053,-0.262,-0.419,,,
,-0.116,,,,,-0.074,-0.287,-0.424,,,
,-0.1,,,,,-0.096,-0.298,-0.412,,,
,-0.076,,,,,-0.125,-0.303,-0.396,,,
,-0.051,,,,,-0.163,-0.319,-0.39,,,
,-0.032,,,,,-0.209,-0.355,-0.405,,,
,-0.012,,,,,-0.264,-0.414,-0.442,,,
,0.017,,,,,-0.33,-0.498,-0.505,,,
,0.059,,,,,-0.404,-0.605,-0.589,,,
,0.102,,,,,-0.477,-0.723,-0.687,,,
,0.139,,,,,-0.544,-0.844,-0.792,,,
,0.172,,,,,-0.614,-0.976,-0.914,,,
,0.21,,,,,-0.696,-1.13,-1.065,,,
,0.254,,,,,-0.789,-1.301,-1.234,,,
,0.301,,,,,-0.876,-1.461,-1.391,,,
,0.344,,,,,-0.944,-1.584,-1.51,,,
,0.387,,,,,-0.997,-1.672,-1.595,,,
,0.437,,,,,-1.047,-1.744,-1.664,,,
,0.494,,,,,-1.1,-1.812,-1.732,,,
,0.554,,,,,-1.153,-1.873,-1.798,,,
,0.609,,,,,-1.199,-1.917,-1.854,,,
,0.654,,,,,-1.231,-1.943,-1.892,,,
,0.69,,,,,-1.249,-1.95,-1.9,,,
,0.715,,,,,-1.258,-1.938,-1.874,,,
,0.733,,,,,-1.264,-1.912,-1.83,,,
,0.742,,,,,-1.275,-1.879,-1.788,,,
,0.749,,,,,-1.297,-1.853,-1.759,,,
,0.763,,,,,-1.334,-1.846,-1.739,,,
,0.788,,,,,-1.386,-1.862,-1.717,,,
,0.813,,,,,-1.437,-1.887,-1.689,,,
,0.817,,,,,-1.463,-1.899,-1.649,,,
,0.795,,,,,-1.459,-1.884,-1.59,,,
,0.762,,,,,-1.443,-1.846,-1.515,,,
,0.736,,,,,-1.434,-1.798,-1.432,,,
,0.716,,,,,-1.433,-1.747,-1.349,,,
,0.682,,,,,-1.421,-1.689,-1.271,,,
,0.629,,,,,-1.387,-1.623,-1.196,,,
,0.572,,,,,-1.338,-1.554,-1.13,,,
,0.529,,,,,-1.286,-1.489,-1.077,,,
,0.499,,,,,-1.234,-1.427,-1.034,,,
,0.468,,,,,-1.176,-1.361,-0.987,,,
,0.427,,,,,-1.113,-1.287,-0.934,,,
,0.384,,,,,-1.045,-1.209,-0.884,,,
,0.347,,,,,-0.972,-1.13,-0.849,,,
,0.319,,,,,-0.894,-1.053,-0.829,,,
,0.291,,,,,-0.813,-0.984,-0.815,,,
,0.26,,,,,-0.738,-0.925,-0.798,,,
,0.23,,,,,-0.671,-0.877,-0.777,,,
,0.207,,,,,-0.617,-0.834,-0.757,,,
,0.192,,,,,-0.572,-0.791,-0.737,,,
,0.181,,,,,-0.531,-0.744,-0.706,,,
,0.17,,,,,-0.488,-0.688,-0.662,,,
,0.156,,,,,-0.443,-0.628,-0.608,,,
,0.141,,,,,-0.399,-0.571,-0.558,,,
,0.127,,,,,-0.363,-0.523,-0.516,,,
,0.114,,,,,-0.334,-0.479,-0.478,,,
,0.1,,,,,-0.305,-0.434,-0.435,,,
,0.085,,,,,-0.275,-0.388,-0.388,,,
,0.074,,,,,-0.245,-0.344,-0.344,,,
,0.065,,,,,-0.216,-0.305,-0.306,,,
,0.057,,,,,-0.187,-0.269,-0.273,,,
,0.05,,,,,-0.16,-0.237,-0.243,,,
,0.042,,,,,-0.137,-0.208,-0.214,,,
,0.034,,,,,-0.115,-0.18,-0.184,,,
,0.027,,,,,-0.092,-0.149,-0.154,,,
,0.019,,,,,-0.07,-0.119,-0.124,,,
,0.011,,,,,-0.053,-0.094,-0.1,,,
,0.005,,,,,-0.041,-0.077,-0.082,,,
,0.0,,,,,-0.032,-0.062,-0.067,,,
,-0.003,,,,,-0.019,-0.046,-0.051,,,
,-0.007,,,,,-0.007,-0.029,-0.035,,,
,-0.011,,,,,0.003,-0.015,-0.02,,,
,-0.015,,,,,0.011,-0.003,-0.008,,,
,-0.019,,,,,0.018,0.007,0.002,,,
,-0.022,,,,,0.024,0.017,0.012,,,
,-0.026,,,,,0.03,0.027,0.022,,,
,-0.03,,,,,0.035,0.037,0.031,,,
,-0.034,,,,,0.041,0.048,0.042,,,
,-0.038,,,,,0.048,0.057,0.052,,,
,-0.043,,,,,0.053,0.063,0.059,,,
,-0.047,,,,,0.059,0.064,0.063,,,
,-0.05,,,,,0.065,0.064,0.065,,,
,-0.051,,,,,0.07,0.065,0.066,,,
,-0.052,,,,,0.074,0.068,0.068,,,
,-0.058,,,,,0.075,0.072,0.071,,,
,-0.067,,,,,0.077,0.078,0.075,,,
,-0.074,,,,,0.08,0.084,0.079,,,
,-0.075,,,,,0.082,0.088,0.082,,,
,-0.072,,,,,0.083,0.089,0.084,,,
,-0.069,,,,,0.084,0.089,0.085,,,
,-0.068,,,,,0.085,0.091,0.086,,,
,-0.069,,,,,0.085,0.094,0.089,,,
,-0.071,,,,,0.086,0.098,0.095,,,
,-0.071,,,,,0.088,0.102,0.103,,,
,-0.069,,,,,0.09,0.105,0.111,,,
,-0.066,,,,,0.092,0.107,0.114,,,
,-0.067,,,,,0.094,0.109,0.114,,,
,-0.076,,,,,0.096,0.112,0.115,,,
,-0.089,,,,,0.099,0.116,0.117,,,
,-0.1,,,,,0.1,0.12,0.12,,,
,-0.105,,,,,0.099,0.122,0.123,,,
,-0.105,,,,,0.099,0.123,0.124,,,
,-0.104,,,,,0.101,0.127,0.124,,,
,-0.105,,,,,0.103,0.131,0.124,,,
,-0.105,,,,,0.105,0.135,0.125,,,
,-0.104,,,,,0.106,0.137,0.128,,,
,-0.104,,,,,0.108,0.138,0.132,,,
,-0.105,,,,,0.111,0.14,0.136,,,
,-0.105,,,,,0.112,0.142,0.137,,,
,-0.104,,,,,0.113,0.144,0.139,,,
,-0.104,,,,,0.114,0.146,0.141,,,
,-0.105,,,,,0.115,0.148,0.144,,,
,-0.105,,,,,0.115,0.15,0.144,,,
,-0.104,,,,,0.114,0.152,0.144,,,
,-0.104,,,,,0.114,0.154,0.144,,,
,-0.105,,,,,0.115,0.155,0.145,,,
,-0.105,,,,,0.115,0.155,0.145,,,
,-0.104,,,,,0.114,0.155,0.145,,,
,-0.104,,,,,0.114,0.157,0.147,,,
,-0.105,,,,,0.115,0.159,0.149,,,
,-0.105,,,,,0.115,0.16,0.15,,,
,-0.104,,,,,0.114,0.16,0.15,,,
,-0.104,,,,,0.114,0.16,0.15,,,
,-0.105,,,,,0.115,0.159,0.149,,,
,-0.105,,,,,0.115,0.159,0.149,,,
,-0.104,,,,,0.114,0.16,0.15,,,
,-0.104,,,,,0.114,0.162,0.152,,,
,-0.105,,,,,0.115,0.165,0.154,,,
,-0.105,,,,,0.115,0.166,0.155,,,
,-0.104,,,,,0.114,0.165,0.154,,,
,-0.104,,,,,0.114,0.164,0.154,,,
,-0.105,,,,,0.115,0.164,0.155,,,
,-0.105,,,,,0.115,0.164,0.155,,,
,-0.104,,,,,0.115,0.166,0.154,,,
,-0.104,,,,,0.115,0.168,0.154,,,
,-0.105,,,,,0.114,0.17,0.155,,,
,-0.105,,,,,0.114,0.17,0.157,,,
,-0.104,,,,,0.114,0.169,0.159,,,
,-0.104,,,,,0.116,0.169,0.161,,,
,-0.105,,,,,0.121,0.17,0.163,,,
,-0.105,,,,,0.125,0.17,0.165,,,
,-0.104,,,,,0.128,0.169,0.167,,,
,-0.104,,,,,0.129,0.169,0.168,,,
,-0.105,,,,,0.131,0.171,0.17,,,
,-0.105,,,,,0.133,0.173,0.17,,,
,-0.105,,,,,0.135,0.175,0.169,,,
,-0.104,,,,,0.136,0.175,0.169,,,
,-0.104,,,,,0.138,0.175,0.169,,,
,-0.105,,,,,0.14,0.174,0.171,,,
,-0.105,,,,,0.14,0.173,0.172,,,
,-0.104,,,,,0.139,0.174,0.174,,,
,-0.104,,,,,0.139,0.176,0.175,,,
,-0.105,,,,,0.14,0.178,0.176,,,
,-0.105,,,,,0.14,0.179,0.175,,,
,-0.104,,,,,0.139,0.18,0.174,,,
,-0.104,,,,,0.139,0.18,0.174,,,
,-0.105,,,,,0.14,0.179,0.176,,,
,-0.105,,,,,0.14,0.179,0.178,,,
,-0.105,,,,,0.139,0.18,0.179,,,
,-0.105,,,,,0.138,0.182,0.179,,,
,-0.104,,,,,0.139,0.184,0.18,,,
,-0.104,,,,,0.141,0.185,0.18,,,
,-0.105,,,,,0.143,0.185,0.179,,,
,-0.105,,,,,0.144,0.185,0.179,,,
,-0.104,,,,,0.145,0.184,0.18,,,
,-0.104,,,,,0.145,0.184,0.18,,,
,-0.105,,,,,0.144,0.185,0.179,,,
,-0.105,,,,,0.144,0.187,0.179,,,
,-0.104,,,,,0.145,0.189,0.18,,,
,-0.104,,,,,0.145,0.19,0.181,,,
,-0.105,,,,,0.144,0.19,0.183,,,
,-0.105,,,,,0.144,0.19,0.185,,,
,-0.104,,,,,0.145,0.189,0.186,,,
,-0.104,,,,,0.145,0.19,0.185,,,
,-0.105,,,,,0.144,0.191,0.184,,,
,-0.105,,,,,0.144,0.193,0.184,,,
,-0.104,,,,,0.145,0.195,0.185,,,
,-0.104,,,,,0.145,0.197,0.185,,,
,-0.104,,,,,0.144,0.199,0.184,,,
,-0.104,,,,,0.144,0.201,0.184,,,
,-0.103,,,,,0.145,0.203,0.184,,,
,-0.104,,,,,0.145,0.204,0.185,,,
,-0.107,,,,,0.144,0.205,0.187,,,
,-0.109,,,,,0.144,0.204,0.189,,,
,-0.108,,,,,0.145,0.205,0.19,,,
,-0.107,,,,,0.145,0.205,0.189,,,
,-0.11,,,,,0.144,0.204,0.19,,,
,-0.119,,,,,0.143,0.204,0.191,,,
,-0.13,,,,,0.141,0.204,0.193,,,
,-0.137,,,,,0.139,0.205,0.195,,,
,-0.137,,,,,0.138,0.206,0.195,,,
,-0.134,,,,,0.139,0.205,0.195,,,
,-0.133,,,,,0.142,0.203,0.196,,,
,-0.134,,,,,0.146,0.202,0.198,,,
,-0.134,,,,,0.151,0.206,0.199,,,
,-0.134,,,,,0.155,0.214,0.199,,,
,-0.134,,,,,0.159,0.223,0.199,,,
,-0.135,,,,,0.161,0.228,0.201,,,
,-0.135,,,,,0.163,0.23,0.203,,,
,-0.134,,,,,0.165,0.229,0.204,,,
,-0.134,,,,,0.169,0.228,0.205,,,
,-0.135,,,,,0.173,0.229,0.205,,,
,-0.135,,,,,0.176,0.231,0.206,,,
,-0.134,,,,,0.178,0.233,0.208,,,
,-0.134,,,,,0.179,0.234,0.209,,,
,-0.135,,,,,0.182,0.235,0.21,,,
,-0.135,,,,,0.184,0.234,0.209,,,
,-0.134,,,,,0.185,0.235,0.21,,,
,-0.134,,,,,0.185,0.237,0.212,,,
,-0.135,,,,,0.184,0.24,0.215,,,
,-0.135,,,,,0.184,0.242,0.217,,,
,-0.134,,,,,0.184,0.243,0.218,,,
,-0.134,,,,,0.185,0.246,0.221,,,
,-0.135,,,,,0.187,0.25,0.225,,,
,-0.135,,,,,0.19,0.254,0.229,,,
,-0.134,,,,,0.191,0.256,0.232,,,
,-0.134,,,,,0.19,0.258,0.234,,,
,-0.135,,,,,0.189,0.26,0.235,,,
,-0.135,,,,,0.188,0.264,0.235,,,
,-0.134,,,,,0.189,0.268,0.234,,,
,-0.134,,,,,0.192,0.272,0.234,,,
,-0.135,,,,,0.196,0.274,0.235,,,
,-0.135,,,,,0.2,0.274,0.235,,,
,-0.135,,,,,0.203,0.274,0.234,,,
,-0.135,,,,,0.204,0.274,0.234,,,
,-0.134,,,,,0.205,0.275,0.235,,,
,-0.134,,,,,0.205,0.275,0.234,,,
,-0.134,,,,,0.205,0.274,0.234,,,
,-0.135,,,,,0.204,0.274,0.235,,,
,-0.135,,,,,0.204,0.274,0.235,,,
,-0.134,,,,,0.206,0.275,0.234,,,
,-0.134,,,,,0.207,0.275,0.235,,,
,-0.135,,,,,0.209,0.274,0.234,,,
,-0.135,,,,,0.21,0.274,0.234,,,
,-0.134,,,,,0.211,0.277,0.236,,,
,-0.135,,,,,0.21,0.282,0.242,,,
,-0.137,,,,,0.209,0.29,0.25,,,
,-0.139,,,,,0.209,0.298,0.258,,,
,-0.139,,,,,0.211,0.303,0.261,,,
,-0.139,,,,,0.213,0.304,0.258,,,
,-0.139,,,,,0.214,0.305,0.254,,,
,-0.143,,,,,0.215,0.307,0.252,,,
,-0.148,,,,,0.215,0.309,0.254,,,
,-0.151,,,,,0.216,0.312,0.255,,,
,-0.154,,,,,0.218,0.314,0.254,,,
,-0.154,,,,,0.219,0.314,0.254,,,
,-0.153,,,,,0.219,0.314,0.255,,,
,-0.15,,,,,0.219,0.314,0.255,,,
,-0.149,,,,,0.22,0.315,0.254,,,
,-0.149,,,,,0.222,0.317,0.254,,,
,-0.15,,,,,0.225,0.319,0.254,,,
,-0.151,,,,,0.227,0.32,0.254,,,
,-0.15,,,,,0.229,0.32,0.254,,,
,-0.149,,,,,0.229,0.32,0.256,,,
,-0.147,,,,,0.23,0.32,0.26,,,
,-0.145,,,,,0.234,0.323,0.264,,,
,-0.144,,,,,0.243,0.331,0.264,,,
,-0.144,,,,,0.254,0.34,0.261,,,
,-0.145,,,,,0.26,0.345,0.259,,,
,-0.145,,,,,0.26,0.344,0.259,,,
,-0.144,,,,,0.256,0.34,0.26,,,
,-0.143,,,,,0.254,0.339,0.258,,,
,-0.141,,,,,0.255,0.34,0.256,,,
,-0.139,,,,,0.255,0.34,0.255,,,
,-0.138,,,,,0.252,0.337,0.255,,,
,-0.139,,,,,0.25,0.335,0.255,,,
,-0.14,,,,,0.25,0.335,0.252,,,
,-0.14,,,,,0.25,0.335,0.25,,,
,-0.139,,,,,0.249,0.335,0.249,,,
,-0.138,,,,,0.247,0.332,0.249,,,
,-0.136,,,,,0.246,0.331,0.25,,,
,-0.134,,,,,0.245,0.33,0.249,,,
,-0.133,,,,,0.245,0.33,0.247,,,
,-0.134,,,,,0.244,0.329,0.245,,,
,-0.135,,,,,0.243,0.328,0.244,,,
,-0.135,,,,,0.241,0.326,0.245,,,
,-0.134,,,,,0.24,0.325,0.244,,,
,-0.132,,,,,0.239,0.324,0.242,,,
,-0.13,,,,,0.24,0.325,0.24,,,
,-0.129,,,,,0.239,0.324,0.239,,,
,-0.129,,,,,0.236,0.321,0.239,,,
,-0.13,,,,,0.234,0.319,0.239,,,
,-0.131,,,,,0.234,0.319,0.237,,,
,-0.13,,,,,0.235,0.32,0.235,,,
,-0.128,,,,,0.233,0.318,0.234,,,
,-0.126,,,,,0.231,0.316,0.235,,,
,-0.125,,,,,0.23,0.315,0.234,,,
,-0.124,,,,,0.23,0.315,0.232,,,
,-0.124,,,,,0.23,0.315,0.23,,,
,-0.125,,,,,0.229,0.314,0.23,,,
,-0.125,,,,,0.227,0.311,0.23,,,
,-0.124,,,,,0.225,0.31,0.23,,,
,-0.123,,,,,0.224,0.31,0.226,,,
,-0.121,,,,,0.225,0.309,0.222,,,
,-0.12,,,,,0.224,0.309,0.218,,,
,-0.12,,,,,0.223,0.308,0.216,,,
,-0.12,,,,,0.22,0.306,0.215,,,
,-0.119,,,,,0.218,0.303,0.213,,,
,-0.119,,,,,0.216,0.301,0.211,,,
,-0.12,,,,,0.214,0.299,0.209,,,
,-0.121,,,,,0.212,0.297,0.207,,,
,-0.12,,,,,0.21,0.295,0.205,,,
,-0.117,,,,,0.209,0.293,0.203,,,
,-0.113,,,,,0.21,0.291,0.201,,,
,-0.109,,,,,0.21,0.29,0.199,,,
,-0.107,,,,,0.208,0.287,0.197,,,
,-0.106,,,,,0.206,0.285,0.195,,,
,-0.102,,,,,0.203,0.283,0.192,,,
,-0.098,,,,,0.201,0.282,0.189,,,
,-0.095,,,,,0.2,0.279,0.184,,,
,-0.092,,,,,0.199,0.274,0.18,,,
,-0.091,,,,,0.199,0.268,0.177,,,
,-0.088,,,,,0.199,0.262,0.174,,,
,-0.085,,,,,0.198,0.258,0.172,,,
,-0.08,,,,,0.195,0.254,0.17,,,
,-0.075,,,,,0.192,0.25,0.167,,,
,-0.073,,,,,0.19,0.247,0.163,,,
,-0.077,,,,,0.189,0.243,0.159,,,
,-0.087,,,,,0.19,0.239,0.154,,,
,-0.098,,,,,0.19,0.235,0.15,,,
,-0.102,,,,,0.187,0.232,0.148,,,
,-0.098,,,,,0.181,0.228,0.146,,,
,-0.093,,,,,0.173,0.224,0.144,,,
,-0.091,,,,,0.166,0.22,0.14,,,
,-0.09,,,,,0.161,0.216,0.136,,,
,-0.089,,,,,0.157,0.212,0.133,,,
,-0.086,,,,,0.153,0.206,0.131,,,
,-0.084,,,,,0.149,0.199,0.129,,,
,-0.083,,,,,0.144,0.193,0.125,,,
,-0.081,,,,,0.138,0.187,0.121,,,
,-0.078,,,,,0.131,0.182,0.118,,,
,-0.075,,,,,0.125,0.178,0.116,,,
,-0.074,,,,,0.12,0.175,0.115,,,
,-0.074,,,,,0.116,0.17,0.111,,,
,-0.074,,,,,0.112,0.164,0.107,,,
,-0.073,,,,,0.108,0.157,0.103,,,
,-0.07,,,,,0.104,0.15,0.101,,,
,-0.066,,,,,0.1,0.145,0.1,,,
,-0.061,,,,,0.096,0.141,0.098,,,
,-0.057,,,,,0.092,0.138,0.096,,,
,-0.054,,,,,0.089,0.133,0.094,,,
,-0.052,,,,,0.085,0.127,0.092,,,
,-0.05,,,,,0.081,0.121,0.09,,,
,-0.047,,,,,0.077,0.117,0.088,,,
,-0.044,,,,,0.073,0.113,0.086,,,
,-0.04,,,,,0.069,0.109,0.084,,,
,-0.035,,,,,0.065,0.105,0.082,,,
,-0.031,,,,,0.061,0.101,0.08,,,
,-0.028,,,,,0.058,0.097,0.078,,,
,-0.026,,,,,0.056,0.094,0.077,,,
,-0.025,,,,,0.054,0.09,0.075,,,
,-0.023,,,,,0.053,0.085,0.072,,,
,-0.021,,,,,0.051,0.082,0.071,,,
,-0.019,,,,,0.048,0.078,0.069,,,
,-0.018,,,,,0.046,0.074,0.067,,,
,-0.019,,,,,0.044,0.07,0.065,,,
,-0.02,,,,,0.044,0.066,0.063,,,
,-0.021,,,,,0.045,0.062,0.061,,,
,-0.019,,,,,0.044,0.059,0.059,,,
,-0.017,,,,,0.042,0.056,0.057,,,
,-0.015,,,,,0.04,0.055,0.055,,,
,-0.014,,,,,0.039,0.053,0.053,,,
,-0.014,,,,,0.04,0.051,0.051,,,
,-0.015,,,,,0.039,0.048,0.049,,,
,-0.015,,,,,0.037,0.045,0.046,,,
,-0.014,,,,,0.035,0.041,0.045,,,
,-0.014,,,,,0.034,0.038,0.044,,,
,-0.015,,,,,0.035,0.035,0.045,,,
,-0.014,,,,,0.035,0.034,0.044,,,
,-0.013,,,,,0.034,0.033,0.042,,,
,-0.01,,,,,0.031,0.031,0.04,,,
,-0.009,,,,,0.028,0.028,0.039,,,
,-0.009,,,,,0.025,0.026,0.039,,,
,-0.01,,,,,0.024,0.025,0.04,,,
,-0.011,,,,,0.024,0.025,0.04,,,
,-0.01,,,,,0.025,0.024,0.039,,,
,-0.009,,,,,0.024,0.024,0.039,,,
,-0.007,,,,,0.022,0.025,0.039,,,
,-0.005,,,,,0.02,0.025,0.039,,,
,-0.004,,,,,0.019,0.024,0.04,,,
,-0.004,,,,,0.02,0.024,0.04,,,
,-0.005,,,,,0.019,0.025,0.039,,,
,-0.005,,,,,0.017,0.025,0.037,,,
,-0.005,,,,,0.015,0.024,0.035,,,
,-0.005,,,,,0.014,0.023,0.034,,,
,-0.005,,,,,0.015,0.021,0.035,,,
,-0.005,,,,,0.014,0.019,0.035,,,
,-0.002,,,,,0.012,0.018,0.034,,,
,0.0,,,,,0.01,0.019,0.034,,,
,0.0,,,,,0.009,0.02,0.035,,,
,0.0,,,,,0.009,0.02,0.035,,,
,0.0,,,,,0.009,0.019,0.035,,,
,0.0,,,,,0.009,0.019,0.034,,,
,0.0,,,,,0.009,0.019,0.034,,,
,0.0,,,,,0.01,0.02,0.035,,,
,-0.001,,,,,0.01,0.02,0.036,,,
,0.0,,,,,0.009,0.019,0.035,,,
,0.001,,,,,0.009,0.019,0.033,,,
,0.003,,,,,0.01,0.02,0.031,,,
,0.004,,,,,0.01,0.019,0.03,,,
,0.005,,,,,0.009,0.017,0.029,,,
,0.005,,,,,0.009,0.015,0.029,,,
,0.004,,,,,0.01,0.014,0.03,,,
,0.004,,,,,0.01,0.014,0.03,,,
,0.005,,,,,0.009,0.014,0.029,,,
,0.005,,,,,0.009,0.014,0.029,,,
,0.004,,,,,0.01,0.015,0.029,,,
,0.004,,,,,0.01,0.015,0.029,,,
,0.005,,,,,0.009,0.014,0.03,,,
,0.005,,,,,0.009,0.014,0.029,,,
,0.004,,,,,0.01,0.015,0.028,,,
,0.004,,,,,0.01,0.015,0.025,,,
,0.005,,,,,0.009,0.014,0.024,,,
,0.004,,,,,0.009,0.012,0.024,,,
,0.005,,,,,0.01,0.01,0.025,,,
,0.006,,,,,0.01,0.009,0.025,,,
,0.008,,,,,0.009,0.01,0.024,,,
,0.01,,,,,0.009,0.01,0.024,,,
,0.01,,,,,0.01,0.009,0.025,,,
,0.01,,,,,0.01,0.01,0.025,,,
,0.009,,,,,0.009,0.009,0.024,,,
,0.009,,,,,0.009,0.009,0.024,,,
,0.01,,,,,0.01,0.01,0.025,,,
,0.009,,,,,0.01,0.01,0.025,,,
,0.01,,,,,0.009,0.009,0.025,,,
,0.01,,,,,0.009,0.009,0.026,,,
,0.009,,,,,0.01,0.009,0.028,,,
,0.009,,,,,0.01,0.01,0.03,,,
